userName,score,at,content
Ardhi,3,2024-03-05 13:45:17,"Kebanyakan update yang ga penting, sekarang mau buka ruangbelajar sering banget ngestuck loading, mending optimasi di bagian yang penting aja"
ghaisan damia,1,2024-03-05 13:40:08,Banyak bug dikarenakan sistem katanya soalnya pakai wifi yg 100 Mbps masih bermasalah video nya gak bisa ditonton dan biasa nya tiba tiba video nya seperti belum langganan cuman bisa 1 bab mohon cepat di benarkan
Khatim Mudzanah Widya,1,2024-03-05 13:33:27,"Apa sih masalah mu, kenapa mau dibuka ngak ada satupun materi yang muncul padahal udah bayar mahal-mahal.. Kenapa aplikasinya makin jelek sih, ngak guna banget yang ngurus bagian sistem dan IT nya"
opo true,5,2024-03-05 13:26:25,"Aplikasi yg sangat bagus, mempermudah siswa belajar dan membuat belajar pun lebih menyenangkan, semoga ruangguru dapat terus berkembang dan mendidik murid lainnya dengan menyenangkan juga🙏"
Gerrald 4,1,2024-03-05 13:15:43,Sering terjadi kesalahan sistem. Cmn pen blajar doang
Abiyyu Aja,1,2024-03-05 13:09:09,Server lemot
AHENG NAZARIUS,5,2024-03-05 13:05:42,Sangat membantuku untuk belajar sekarang gak se lag dulu
MFMS 48,1,2024-03-05 12:58:35,"Woy, sudah berlangganan mahal-mahal, ketika di pake malah terdapat jaringan bermasalah padahal sudah di cek hasilnya 24 Mbps. Sudah ditanyakan lewat aplikasinya langsung tidak di respon. Maunya apa ini!!"
Miranda,1,2024-03-05 12:45:56,Ngelag bgt
Andhika Syawalludin,3,2024-03-05 12:41:46,Server lebih baik lagi agar mudah untuk diakses
Hanifah,5,2024-03-05 12:32:01,kak aku mau belajar tapi leg banget pas buka ruangguru tapi buka apk lain lancar
Sello Ganteng,5,2024-03-05 10:50:36,Aku jadi mudah untuk mengerjakan tugas
Naila Wafida,1,2024-03-05 08:04:29,Tidak ada jawaban dan soalnya ini aplikasi apaan mending jangan di donglot deh nnti nyesal
Agus Ifan,5,2024-03-05 00:34:44,Bagus karena Ap ini gratis
Ardi,5,2024-03-04 21:03:51,Bagus banget pokoknya
Satria Desfian,5,2024-03-04 16:57:57,Apk nya mantap kali
Shafira Anindhita Aryanti,5,2024-03-04 15:40:50,Membantu bangett dan bermanfaat buat aku yang masih bingung dalam pembelajaran nihh :D
Rita Zaini,5,2024-03-04 14:15:39,I REALLY REALLY LOVEEE UU RG!!!!
MUTIAH MIFTAHUL JANNAH,1,2024-03-04 12:11:54,aplikasi nya sering error 🥲🥲🥲🥲
Suka Mamah Muda,1,2024-03-04 11:01:07,Ngelag coy
Mulyadi Jamil,5,2024-03-04 09:35:36,Aplikasi nya seru dan bikin paham!
Triasdevi Larasati,5,2024-03-04 08:24:55,"Ini aplikasi baguss!!😍 Bagi yang mau pinter dan ingin mencari tau, mending kesini deh👉📱😁"
Zaskia Naomi,5,2024-03-04 05:10:20,Alhamdulillah sejauhh ini gda problem klo mau belajar 👍🏻⭐
Jubel Panjaitan,3,2024-03-04 02:58:59,Mungkin membantu
Maiza Maiza,5,2024-03-03 14:20:16,"Aku suka! Penjelasannya sangat mudah untuk dipahami, Dan ada juga latihan atau quiz saat selesai nonton video nya jadi suka belajar dehh!! 💓"
Felix,5,2024-03-03 13:27:16,baru nyoba
Horiette,2,2024-03-03 11:52:32,"kenapa semua videonya gak bisa diputer? padahal saya masih langganan, dan setiap pencet videonya pasti ada tulisan ""Gagal memuat video. yuk coba lagi"" gitu gitu terus, padahal udah hampir seminggu ini"
Aqlan Hanafi Idris,1,2024-03-03 09:24:29,"ga jelas masa udh langganan 3 tahun jaringan baik"" saja lancar tidak ada masalah sudah update tetapi tidak bisa menonton vidio belajar hanya ada tulisan"" Gagal memuat vidio"" yuk coba lagi sudah berhari hari bug masalah jaringan seperti ini padahal saya mau belajar untuk ujian asts 👎👎👎👎🙏😪😪😪"
Radyah,5,2024-03-03 08:01:58,bagus buat belajar
guwita atlhari,5,2024-03-03 01:35:12,Sangat berkelas aplikasi belajar dengan mudah dan cepat di pelajari.
Yusitifa Craft,5,2024-03-02 22:40:12,Bgs.
Naufal Fauzan,5,2024-03-02 12:45:37,👍
Bambang Wijaya,5,2024-03-02 09:36:32,Ok
Maximus Erick Markell,5,2024-03-02 07:52:20,"This app is literally school but more detailed. The explanation is interesting and in-depth. Please add daily reminder feature, video in 1920×1080 quality, and dark mode. Overall, this application is good for students who are slow learners and fast learners. The explanation is easy to understand and simple. The Roboguru feature is my favorite feature, where you can ask your homework/assignments to the master teacher there"
Tita Sri,1,2024-03-02 07:46:21,Ini gimana sih padahal udah beli paket lama banget kesel tolong di perbaiki 🙏🙏🙏🙏
Muhammad Ghana Haya K.,4,2024-03-02 04:50:02,I have alerted the horse
Diana Natalia Tnunay,5,2024-03-02 04:36:20,"Belajar di Ruang kita,,membuat kita jadi yang tidak tau menjadi tau,,💪💪💪🥰🥰"
Arina Rrq01,5,2024-03-02 04:01:03,Aku suka bgt sama ruang guru ini karena dari sini aku bisa pinter makasih 😘ruang guru
Nesaaleeza Collection,3,2024-03-02 01:17:19,"Aplikasinya bagus tapi lama pendaftarannya tolong dong harus memasukan nomor telepon, lah nama sekolah"
Feronicha 05,4,2024-03-01 23:34:22,Bagus sekali buat anak sekolah
Agus Wedi,5,2024-03-01 14:59:28,"mudahh di pengertiii,wajib download siii,dari tugass yang sulitt menjadi mudahh"
Zahra,5,2024-03-01 14:32:57,Bagus sih reting 5
Syakila Aprilia,5,2024-03-01 14:29:33,aku sih kurang ngerti tpi bagus
melonn,5,2024-03-01 10:52:54,"Pemberian materi dari semua pelajaran yang ada sudah benar dan baik, namun kalau memilih gambar yang jelas, jangan bisa pusing"
Eka Wulandari,5,2024-03-01 07:39:51,Sagat keren
wulan dad,5,2024-03-01 06:57:46,Semoga Di Percepatkan Ya Aku Ingin Memain nya Playstore
Naylarama Rama,5,2024-03-01 05:31:05,Sangat baikk
Satiman Aris,5,2024-02-29 22:16:36,Ok sangat membantu
Pori Pori,1,2024-02-29 17:55:55,Iklan nya ngagetin
Sanny Salsabila,4,2024-02-29 12:42:25,Bagus banget!!! Ada karakternya lagi!.
R V S D,5,2024-02-29 11:24:47,bakal balik lagi kesini kalo lulus snbt april 2024
Danish Irawan,4,2024-02-29 09:17:12,NGELAG MULU CHAT KADANG GABISA VIDEO BUFFERIBNG DAN MASUK RUANGGURUNYA LAMA BANGET
XNouirarxX,3,2024-02-29 08:28:11,"Staff nya pada ngespam di wa.. pas saya ngetanggapin Salah satu nya dengan kalimat ""pembohong publik"" langsung di ancem bakal dituntut ke ruangguru langsung. Padahal kalo nawarin promo mah bisa sekali atau Dua kali doang. Lucu emang😂"
selah situmorang,5,2024-02-28 14:45:55,❤
Boni tambunan Tambunan,5,2024-02-28 08:21:32,Ini sangat membantu saya dalam belajar
waodeannisa ismail,5,2024-02-28 07:19:45,Saya suka 😍
Calvin Sitanggang,3,2024-02-27 18:20:42,Apakah ruang guru bisa untuk anak kuliah? Khususnya saya sedang kuliah S1 teknik mesin
Gina Aulia,4,2024-02-27 12:57:02,Haha🤣🤣
Fitria Raputri,1,2024-02-27 12:43:28,"aplikasinya jelek!, jawaban dan soal tidak muncul-muncul"
Ratna Widayu,5,2024-02-27 11:31:21,"Terimakasih, sangat bermanfaat untuk belajar dengan cara menyenangkan."
Nazwah Nysa Andjani,5,2024-02-27 11:07:39,"Haloo Semenjak aku belajar dan berlangganan diruangguru ini aku semakin dengan mudah cepat memahami materi yang disampaikan. Aku suka fitur video yang sangat menarik dan juga penjelasan yang jelas, terperinci dan aku ga bosen buat nonton ulang video nya."
Dheva Dika Arfan,5,2024-02-27 10:28:53,Membantu
Fadilah Anbiya,5,2024-02-27 07:47:37,Aku jadi pinter🗿🤘
Naifa Cahya,1,2024-02-26 14:17:04,"ngelag banget sih aplikasinya, sering error' juga, g jls bgt"
Raefa ammaliar,5,2024-02-26 13:53:13,Baguz
Die Abdi,4,2024-02-26 12:03:41,Karena saya bisa dapat rengking bagus karena belajar di ruang guru
Jimmy Irsa Valentino,2,2024-02-26 11:41:33,"kenapa botnya jadi berbayar dah, gabisa ngobrol lagi deh"
qila Ila,5,2024-02-26 10:58:10,Sangat bagus untuk anak-Anak
hapiz Albaehaki,2,2024-02-26 09:21:19,Aku smp kk
Fransisca Fradelia,5,2024-02-25 21:04:50,"bagus sekali. Tapi sayangnya...... 1. dipakai suara meniru anak kecil seperti menanyai tidak berguna. 2. mengoceh tidak berhenti-hentinya, suara yang sama itu untuk mengobrol. Memangnya mereka pikir ini speaker?"
chandita ratana,5,2024-02-25 14:17:41,"aplikasi ruangguru sangat bermanfaat,bisa menonton vidio belajar,kuis,latihan soal dan masi banyak lagi,jadi aplikasi ini sangat di rekomendasi kan"
Agatha Anekawa,5,2024-02-25 12:32:22,apk nya bagud
Intan Cans .0063 (Intan),5,2024-02-25 11:54:13,"Apk ini nemenin aku belajar dan membuatku tambah semangat,tapi harus premium biar rinci pelajarannya jadi kadang² males soalnya nggak bisa nonton materi selanjutnya Semoga menjadi lebih baik,baik,dan baik lagi! Ganbatte kudasai"
gracia Sitorus,1,2024-02-25 11:48:26,NOT GOOD:<
wiz,5,2024-02-25 11:45:30,Bagus sekali pelayanannya saya dari rank 19 ke 7 ya lumayan dari apl ini
Dinda Pratiwi,4,2024-02-25 11:34:46,"Saya kurang mengerti,tapi saya suka🤩"
Juan Phillippe,4,2024-02-25 04:16:22,"Aplikasi yang keren banget, meski banyak soal latihan yang menantang tapi disitulah jati diriku terbentuk"
riany hany,5,2024-02-25 03:40:14,Seru ada pelajaran dan kartun seru pokok nya
seven7nickname,1,2024-02-24 12:38:08,Banyak spam penawaran program dari whatsapp.
yusuf affandi,2,2024-02-24 12:04:44,Kok suka tiba2 suka berhnti pdhl sudah apdet😑jd beljrny sush
Alfian Alfarezi,1,2024-02-24 06:10:32,Kacau banget udah langganan 500rb buat fokus ke utbk.. masa bagian try out nya harus bayar lagi.. padahal kan gua langganan bagian utbk buat try out nya.. rugi dong
Cecilia Cecil,5,2024-02-23 11:13:47,belajar menjadi lebih mudah dan cepat paham
Mukhtardi Ardi,5,2024-02-23 08:18:58,Bagus aplikasi ini lengkap
Keto ar,5,2024-02-23 05:53:49,Setelah aku mendownload nya aku selalu dapat ranking dikelas
Siti Rohimah,5,2024-02-22 14:07:25,Sangat membantu sekali untuk pekerjaan rumah dan lancar aplikasinya terimakasih ruangguru
Aldino Rumbara,5,2024-02-22 13:24:58,Kren bamgat
abdul razak,3,2024-02-22 12:52:28,"tolong benar kan nilai tryout kami,banyak yang rusak nilainya"
Ai tuti Gantini,5,2024-02-22 11:45:26,"bagus mudah dimengerti ,, tapi kadang suka bug atau kalo lagi enak enak nonton video nya suka keluar sendiri terus ada tulisan gitu"
jessica star creation,1,2024-02-22 11:26:33,"Super duper kecewa dengan Ruang guru,sales admin ngak jelasin brain academy tidak termasuk dafa lulu, pas aplikasi Di buka yang jaringan Lemah, Jadi kita Di oaksa beli aplikasi Tanpa Tahu kegunaannya, Tanya soak Di robo guru jawaban juga menyimpang, Kurikulum tidak sesuai,soal Kurang berbobot, Tanya customer service juga Kurang memuaskan video juga membosankan, untuk banger pelayananan admin Di wa ngak di balas, jelas merepotkan sekali, aplikasinya dan materi buruk tidak bantu sama sekali"
Khalisya,5,2024-02-22 06:49:00,"Aku jadi lebih mudah buat belajar tentang matematika Sampai akhirnya aku mengikuti, program anak cerdas , thanks for watching ya ruang guru"
Fauzi Oji,5,2024-02-22 03:06:33,Pembelajarannya bagus banget!! Serasa main game
Syakira Zahidah,3,2024-02-21 14:46:26,roboguru itu gabisa dipakai
Lamsar Silalahi,4,2024-02-21 14:08:58,非常に便利
Mestika Panggabean,4,2024-02-21 12:48:25,seru
Veronicaa Ailaa,1,2024-02-21 09:32:08,bagian baon nya lemott bangett gilaaa banget banget lagi inimah sumpah males banget yaallah
aida pasha,5,2024-02-21 09:16:53,seruu
Dwi Suryana,5,2024-02-21 07:46:34,Yaa seperti mereka
sicilia ummu fahimah,5,2024-02-21 07:27:05,"pembelajarannya bagus untuk anak sd smp dan lain lain... juga banyak yg unik kayak hewan peliharaannya,dan avatar avatar yg keren... bagus deh pokoknya..."
Juanita Minarny,4,2024-02-21 03:40:28,Terlalu susah untuk di pahami
Indira Shofia,5,2024-02-21 02:12:19,"Kak belva ayo muncul lagi kak, nanti kak belva di konsep trus dijelasin sama tim rg lain di konsep kilat..."
Hasna Kaylla,5,2024-02-20 13:53:29,"sangat membantu kami sebagai pelajar dalam melakukan KBM di sekolah, materi sesuai dengan kurikulum. ⭐⭐⭐❕"
Wiro Waras,5,2024-02-20 11:59:48,Paket kuota internetnya buat lebih terjangkau lagi seperti waktu covid19
Syamsul Rijal,5,2024-02-20 07:16:35,Seru
Jeckie Channel,5,2024-02-20 03:46:13,Karya anak bangsa yang perlu diapresiasi untuk kemajuan SDM Indonesia untuk menuju Indonesia Emas
Nida Astiti,5,2024-02-20 03:25:10,Asiknya belajar disini
Raditya Aries,1,2024-02-20 01:20:50,"Kenapa saat ini banyak bug di appnya,kadang video tidak bisa dibuka padahal signal aman² aja, pemberitahuannya hanya sistem sedang error,padahal pembelajarannya sangat membantu"
Raka Fauzy Akbar,5,2024-02-20 01:03:35,"Trimakasih Ruangguru 👍, video penjelasan mudah dimengerti, tiap soal ada pembahasannya, mantap banget deh. Cuman kekurangannya gini, Waktu saya lagi ngerjain soal IPA, kan ada gambarnya tuh, misalnya tentang daun gitu, kurang lebih soalnya menanyakan ""bagian yg ditunjuk nomor 3 disebut?"". Tapi gambarnya gak bisa digeser-geser, sehingga ngebuat gak kelihatan bagian no 3nya. Itu memang begitu atau bisa digeser cuman HP saya aja yang bermasalah ya? Atau ada fiturnya?"
Mikha Agustamia,5,2024-02-19 13:08:22,"Makasih atas kenyamanan yg diberikan, walaupun kadang tidak sesuai tpi mmng lebih byak yg benar kok jdi aku rate nya bintang 5 aja deh"
Ken Nararya,5,2024-02-19 13:00:30,Bague banget berguna buat belajar
Rai -,5,2024-02-19 11:09:42,"Aplikasi nya bagus, tapi tolong tambahin fitur misalnya untuk baca buku pelajaran gitu,"
Esvirli Aviola,4,2024-02-19 02:47:23,Bagus dan bisa mengerti pelajaran nya
Usang Handayani,1,2024-02-18 22:49:36,Bagus tapi bayar nya mahal bintang 1 nya maaf
Slamet Slamet,5,2024-02-18 21:22:58,"Saya sebagai pengguna yang sudah berlangganan merasa terbantu untuk mempelajari pembelajaran nya, banyak animasi membuat saya pribadi tidak bosan dan didampingi oleh guru yang tidak membosankan."
Siti Arnisah,1,2024-02-18 16:56:24,"Gurunya gak jelas cuy ga amanah, 30 RB sia sia di roboguruplus cuma 1 soal yg dikerjain"
Fatih Bko,5,2024-02-18 14:32:18,Bsgus aplikasinya aku jadi rengking 1 gara² aplikasi ini
Tapak Tuan,5,2024-02-18 13:08:52,Bagus buat anak yg suka pegang Hp?
Azka Farizki,4,2024-02-18 11:45:55,Saya sangat suka aplikasi ini karena semua pelajaran ada.Dan mempunyai teman belajar.
Jovita Tobing,5,2024-02-18 11:17:15,Membantu saya dalam mendapatkan juara 🏆🏆🏆yg tertinggi
Chindy Chairunnisa,4,2024-02-18 09:11:26,Menurut saya bagus cuma biayanya aja yg mahal
Naiya Nurhayati,1,2024-02-18 09:07:23,kalau masuk jangan pakai kata sandi terus gimana sih cara mau browsing gitu kok kaya rumitnya kebangetan 😒😒🙄🙄🙄🙄🙄
Gading P.C,1,2024-02-17 13:55:52,Nih apk gk ramah sm pengguna baru apa² dipersulit. Dan lg pop up izinny ganggu bngt cm krn sy gk mau kasih izin notif krn bikin notif rame itu pop upnya maksa suruh aktifin trs. Tutornya jg bnyk yg gk ramah. Sering eror & bnyk bug lg apknya udh isi data diri tp disuruh ngulang lg berkali². Verif nomer WAny gagal mulu linkny gk guna. Dah gt admin WAnya sering nyepam maksa beli dengan dalih kuota promonya akan dialihkan ke orng lain pdhl mahal biaya paketnya. Gk worth it bngt langganan paketny.
Gabriel marpaung,5,2024-02-17 11:11:23,Ini beneran super app untuk belajar. Gk percaya cobain deh!!
Putri Candrakirana,5,2024-02-17 10:35:17,Ruang guru sangat bagusss
Kue Sus,3,2024-02-17 08:18:32,udah bagus cuman soal untuk informatika di bank soal tidk ada
aurllia,1,2024-02-17 05:22:05,"GAJELAS BGT RUANGGURU NGELAZG NGELAG, RIBET, LAMA LOGIN GAK JELAS BGT"
Muhammad Zaki,5,2024-02-16 15:11:50,Bagus amat dah bagi gw
Abdi Nararya,4,2024-02-16 13:30:18,Aplikasi sangat bagus pembelajaran nya mudah dimengerti
DHEYSIC SON MARAMPA,5,2024-02-16 08:38:56,Mantap.......................g..k............
Ningtyas Rizky,5,2024-02-16 05:37:20,Saya ingin menghapus aplikasi ruangguru. Mohon bantuannya
Andra Pratama,1,2024-02-16 03:59:02,Kecewa berat saya mamah huuuuuuuuuuuuuuuu
Samsung Flip,5,2024-02-16 03:26:29,Bagus banget😀😀😀😀
AL AIR,5,2024-02-15 13:11:01,Baik
Delima Ernawati,3,2024-02-15 12:47:03,aplikasi suka eror. terputus di tengah video
Doni,5,2024-02-15 11:57:24,Yes good
Naila Nur Zahrah,5,2024-02-15 06:23:30,Video pembelajarannya sangat membantu dan banyak latihan soal yg bisa dikerjakan untuk melatih pemahaman
Juwita Gratia,5,2024-02-15 05:33:17,"Aku suka dengan Ruangguru, karena pembelajarannya bagus aku jadi mengerti deh🥰😇🙏"
Devi Seftiana,5,2024-02-14 09:45:54,Membantu saya belajar
Muhammad Dzaky Yumna,5,2024-02-14 09:29:35,Sangat membantu.Fitur fitur yang disediakan membuat para pengguna khususnya pelajar menjadi tidak cepat bosan dalam proses belajar.Metode penjelasan yang singkat dan mudah dipahami dengan hadirnya fitur Adapto. Saya harap Ruangguru bisa terus memperhatikan dan mengembangkan detail kecil bagi setiap pengguna Ruangguru kedepannya
Ayesha Qonita,5,2024-02-14 09:13:09,"Bagus banget, aku di recommended sama kaka ku ternyata bagus, Dan aku Kemarin Ada pr mtk trs aku gak tau trs pas aku pake ruangguru eh besok nya nilai aku jadi 100👍👍👍"
Vhany Gay,5,2024-02-14 06:29:03,Sangat bermanfaat sekali
gariy priandara,5,2024-02-13 12:09:49,"Apk yg sangat bagus danjuga sangat membantu perkemangan belajar,cuman ada yg kurang yaitu tolong tambah kan pelajaran PABP (Pendidikan Agama dan Budi Pekerti) walaupun bukan materi pokok tapi seharusnya di tambahkan karna sama sama pelajaran semoga nanti ditambahin pliss😇🙏"
Arya Mahardika,3,2024-02-13 11:34:24,Sebenarnya aplikasinya bagus cuman kebanyakan bug dan lag.ditambah kadang aplikasinya suka keluar sendiri jadinya tolong ya diperbaiki
drinz有,5,2024-02-13 10:12:38,Keren Menyala abangkuu 🔥🔥
tio wahyu abimantrana,5,2024-02-13 09:41:57,Aplikasi bagus dan baik dipahami untuk belajar
Angel tria Novita,4,2024-02-13 09:25:14,baguss tapi untuk penanganan nya agak lama
winnie wu,4,2024-02-13 08:03:00,"Not bad lah, tapi ada fitur seperti adapto, sekarang masih hanya bisa diakses SMP/SMA doang jadi aku saranin pakai untuk SMP keatas"
BIMBEL RUMI,5,2024-02-13 06:47:13,SAYA MAU DAPAT HEWAN
Gabriel Marbun,5,2024-02-12 12:47:21,Keren
benhail 2,5,2024-02-12 11:26:39,senang di ruang guru
Dazai Osamu,4,2024-02-11 08:04:49,"Bagus, jadi paham materi di sekolah. Pembahasannya kadang terlalu cepat, jadi berharap ada fitur subtitle"
ANDRIAN RAPON,1,2024-02-11 02:21:09,Terdaftar
ragha adhitya,5,2024-02-10 09:38:30,Membantu saya dalam belajar
Stepanus rangga Koba,5,2024-02-09 22:17:40,Mantap sekali
Sinna dasa Ladu,5,2024-02-09 15:34:37,Saya suka
Axelio Aqila,5,2024-02-09 13:37:50,Membuat ku sangat pintar
Adelia Nita,5,2024-02-09 09:06:44,"Udah langganan dari masih SMP, apk yang cocok kalo kalian susah mahamin pelajaran di sekolah (tapi tetep ya, harus rajin dan telaten, kalo males buka apk nya juga ya hasilnya bakalan tetep sama). Good job Ruang Guru, sukses selalu <3"
22_Luthfi Liyana Awal_XI MIPA 5,5,2024-02-09 08:00:26,Keren parah
Yuka Murniasih,5,2024-02-09 01:57:46,Wawwwwwww
Marlo Patiung,5,2024-02-09 01:04:21,Ntaps
Ferly Arrozak.H,5,2024-02-08 17:55:28,mantap
Dzaki jabil Jaballah,1,2024-02-08 13:05:01,Sering terjadi bug Tolong diperbaiki🙏
Raesha Maulida,5,2024-02-08 12:52:45,Aplikasi ini sangat bagus sekali sehingga memudahkan saya dalam belajar
Mus thafa,5,2024-02-07 13:25:11,Aplikasi ini sangat keren bagi pelajar
fajrsch,5,2024-02-07 13:03:29,Hebattt
rei,3,2024-02-07 13:00:58,"So many bug in the app and the ui design is very confusing to use, there so many progtam to choose its very confusing to choose from"
Khoirul Anam,1,2024-02-07 02:57:38,Aplikasi kurang lengkap dari segi materi
Gus Mahfud SH Gus Monterroe,5,2024-02-06 16:25:31,Okey . . Banget 😚🙏👉🍞🍔🥯☕☕☕
Ammar Zaidan,5,2024-02-06 14:48:55,Aplikasi sangat bermanfaat
Abdu Fathan,3,2024-02-06 14:40:50,"Pake Ruangguru dari tahun 2021 si enak enak aja tapi semenjak sma ini rencana belajar mingguan nya gak jalan masih periode tahun lalu itupun stuck di bulan maret , padahal itu yang bantu banget buat liat Ruangguru tiap hari"
Kak Nurun,1,2024-02-06 14:12:32,Lambat pasangan
rainz tan,5,2024-02-06 12:01:01,Aku suka banget bisa du buat untuk belajar
Fattah Alim,5,2024-02-06 10:37:47,"Saat mengerjakan soal, pasti ada penjelasanya dan itu lengkap dan mudah dimengerti 👍"
Atta Halilintar V,5,2024-02-06 10:30:47,Hebat
Azkiya azzahra luthfi Azkiya,5,2024-02-06 07:13:33,bagussssss
Fahira Aruna shafiqa,5,2024-02-05 13:42:03,"Seru sekali belajar disini,dan sangat seru menotonnya"
alexa caroline,1,2024-02-05 12:43:26,"ngelag mulu, server error terus, bintang juga ga bertambah setelah polling sudah direport jg ttp aja ga nambah, ketika akhir sesipun bintangnya tidak menambah dari hasil poling. dimohon utk segera diperbaiki"
Davien,1,2024-02-05 12:18:32,"Jelek banget ada pelajaran yang tidak bisa jawab pertanyaan aku , dan langganannya terlalu mahal aku kurang mampu untuk membelinya berlangganan . Pelajaran ada yang kurang seperti kelas 7 informatika , prakarya , agama kristen itu pelajaran yang kurang"
ashmairaa,1,2024-02-05 11:09:04,"GANGGU PRIVASI!! bisa ga si gausah spam telpon di jam sibuk orang? WhatsApp saya penuh isinya chat dari ruang guru dengan orang yang berbeda beda setiap harinya bener bener sampah saya di spam chat/telpon sampai berkali kali pdhl udah di bilang saya udah berlangganan tapi masih maksa kocak, marketing sampah pembelajaran ga berbobot bertelele mana di IOS suka keluar sendiri ngelag trs lgi"
Brain Academy Dumai,5,2024-02-05 10:07:24,Good
Luzein,5,2024-02-05 10:07:00,"Sangat membantu, Semoga saya bisa masuk snbp ITB 2026 dengan bantuan ruangguru"
Syakirah Aulia,4,2024-02-05 02:43:36,"Fitur nya sudah bagus,dan juga video bisa saya pahami sedikit demi sedikit, tetapi knp saat saya ingin menguji diri sendiri/kuis, tidak ada soalnya?. Hanya kosong"
Dimas Fathuroji (Dims),5,2024-02-05 01:15:19,Terbaek
Evi Novita,1,2024-02-04 14:35:58,Karena harus Langganan
Khalif B Bardan,5,2024-02-04 12:23:26,"Keren,bermasalah langsung di benerin. Mantap"
Pumpu theCat,2,2024-02-04 06:15:25,"Aplikasi suka error, tolong diperbaiki"
Wangi Melati Putri,3,2024-02-04 04:28:40,"baguss tapii makin kesini tuh entah kenapa gak bisa dibuka drilling soal tuh, entah karena bug atau apa, udah lama gak buka drilling soal padahal butuh banget, selain itu kadang latihan bab gak bisa dibuka, tapi kadang aja, beda dengan drilling soal yg saya sendiri baru pakai beberapa kali setelah itu gak bisa dipake lagi sampai hari ini."
HarefoxGames,5,2024-02-03 18:53:56,"sedikit flexing, nilai rata rataku dulu semester 4 cuma 91an, sejak make ruangguru rata rataku jadi 97 wkwkw🤣 keren!.. sedikit saran, materi kimianya banyak yang ngga ada :("
marina marina br tarigan,5,2024-02-03 12:27:24,terima kasih berkat bantuan ruang guru saya jadi lebih mudah belajar❤️❤️
mulyadi cakung,5,2024-02-03 12:18:18,"Mantuuul, ini baru aplikasi"
Edi Gombloh,5,2024-02-02 16:59:03,Ruang guru belajar asik..mudah dimengerti..gak bikin pusing☺️
Diara Bas,5,2024-02-02 09:35:07,ACl Gamestop
Ikenur Jannah,5,2024-02-02 08:16:13,Aplikasi nya bagus banget cocok buat belajar
rakib jati,5,2024-02-02 03:16:03,Sangat bagus untuk belajar
Regita Cahyani Anwar,5,2024-02-01 22:11:59,sangat membantu belajar ku! big thanks ruangguru🤝🥑🙏😍
Matcha,1,2024-02-01 13:44:26,Bintang satu dulu karena kita Udah berlangganan 2 tahun..pas udah genap 1 tahun masa videonya Ke kunci semua
Qiara Bonny,1,2024-02-01 12:39:22,Watering lentil cawnimale
Nadine 007,2,2024-02-01 12:16:20,Saya kasih bintang dua karena suka nge-lag jadi saya tidak suka🙏🙏
Jihan fauziah nuzul,5,2024-02-01 09:01:37,Serrru belajar di ruanng guruu😇
Evanny Kaory,1,2024-02-01 07:59:48,Kadang lama loading terus tagai terus pas mau masuk ke kuis atau kuis video langsung keluar tolong perbaiki applikasi ini
GanMa YT,1,2024-02-01 07:35:30,"Semenjak berlangganan,Saya merasa terganggu dengan adanya pemberitahuan apalagi sampai dispam telepon disaat saya sedang sibuk sekolah. Tolong kurangi pemberitahuan,jika saya ingin berlangganan lagi saya akan memberitahu."
keegan kendengis,5,2024-02-01 04:06:30,Mantap bro aplikasi ini buat saya juara 1 terus di sekolah ku👍👍
Azizah najwa,1,2024-02-01 02:02:30,Bs bs ny dlu w langganan🙄
Nur Hapiparma,5,2024-01-31 23:39:02,"Sudahlah gurunya baik, pengajaran yang ramah dan ada video belajar lagi, buruan download sekarang"
Chico Lambaran,4,2024-01-31 18:42:25,Apk yang nyaman buat gw belajar nih👍🏻
Shafaikmal Wahyudi,5,2024-01-31 15:05:18,"Aplikasi tempat belajar yang bagus menurut saya dengan biaya terjangkau serta penjelasan video pembelajaran yang mudah dimengerti. Pelajaran nya lengkap sekali karena materinya mengikuti pusat jadi yang tidak diajarkan di sekolah diajarkan di Ruangguru. Kendala nya hanya berada di pengembangan aplikasi nya saja, karena di waktu tertentu terjadi gejala bug dan buffering meskipun jaringan kita tidak terkendala. saya harap kendala tersebut dapat di kurangi."
Fauzan Atha Naufal,5,2024-01-31 14:51:48,Benar2 sangat membantu mengedukasi masyarakat
santi rosmawati,3,2024-01-31 14:50:42,"Tolong tim ruangguru, kroscek lagi mana yg belum perpanjang paket dan mana yg sudah perpanjangan.. Saya agak terganggu karena seringnya masuk chat dari marketing ruangguru menawarkan perpanjang paket padahal kami sudah melakukannya. Bukan hanya ke nomer saya, tapi juga nomer anak saya. Apalagi di waktu istirahat malam, mengapa sering sekali chat di malam hari, itu cukup mengganggu customer karena sdg istirahat dipikir chat penting ternyata spam."
Ziadfatianhanif Fatianhanif,5,2024-01-31 14:40:11,Baikkkk
Sulastri Lastri,5,2024-01-31 13:03:11,Saya puas dengan hasil nya
Melawii Pinoh,5,2024-01-31 11:34:58,Bagus sekali untuk anak pelajar
Noel Anya,4,2024-01-31 05:10:02,Anjay
Ardi,1,2024-01-31 03:20:59,Menghabiskan penyimpanan dazal emang
Nayla haura filia margaretha,5,2024-01-31 02:51:15,Makasih ruangguru udah buat aku tidur nyenyak
Indira Cahyaning Putri_06,4,2024-01-31 01:13:46,Baguss bgt
